,Mut_num,#,Profiled Samples,Freq,Is Cancer Gene (source: OncoKB)
FEM1C,4,4,500,0.01,No
ARNTL2,4,4,500,0.01,No
PRDM10,4,4,500,0.01,No
BBX,5,4,500,0.01,No
COQ9,4,4,500,0.01,No
ENTPD7,4,4,500,0.01,No
GJC2,5,4,500,0.01,No
CORO1B,4,4,500,0.01,No
NIPAL3,4,4,500,0.01,No
VN1R1,4,4,500,0.01,No
VANGL2,4,4,500,0.01,No
TTC7A,4,4,500,0.01,No
KAT14,5,4,500,0.01,No
ZNF286A,4,4,500,0.01,No
GJD2,4,4,500,0.01,No
AS3MT,4,4,500,0.01,No
TMCC3,4,4,500,0.01,No
TBC1D24,4,4,500,0.01,No
LRRC47,4,4,500,0.01,No
MRTFB,4,4,500,0.01,No
COG6,4,4,500,0.01,No
HECW2,5,4,500,0.01,No
KCTD16,4,4,500,0.01,No
MIB1,4,4,500,0.01,Yes
KIAA1324,4,4,500,0.01,No
KIAA1328,4,4,500,0.01,No
WDR35,5,4,500,0.01,No
KLHL42,4,4,500,0.01,No
TXNDC16,4,4,500,0.01,No
SYT13,4,4,500,0.01,No
CFAP97,4,4,500,0.01,No
RIC1,4,4,500,0.01,No
SLAIN2,6,4,500,0.01,No
RELCH,4,4,500,0.01,No
SH3RF1,4,4,500,0.01,No
LRRN1,4,4,500,0.01,No
ZSWIM5,4,4,500,0.01,No
CACHD1,4,4,500,0.01,No
USP37,4,4,500,0.01,No
PLEKHB1,4,4,500,0.01,No
MYL7,4,4,500,0.01,No
ZNF250,4,4,500,0.01,No
CACTIN,4,4,500,0.01,No
PRODH2,4,4,500,0.01,No
DMRT3,5,4,500,0.01,No
TMEM8A,5,4,500,0.01,No
ENPP5,4,4,500,0.01,No
CACNG6,4,4,500,0.01,No
ALOXE3,4,4,500,0.01,No
ZNF350,4,4,500,0.01,No
GPBP1L1,4,4,500,0.01,No
SLC5A7,4,4,500,0.01,No
FASTKD5,4,4,500,0.01,No
AGBL5,4,4,500,0.01,No
DHX35,4,4,500,0.01,No
CELF6,4,4,500,0.01,No
EEFSEC,4,4,500,0.01,No
CELF5,4,4,500,0.01,No
ABHD4,5,4,500,0.01,No
RNF123,4,4,500,0.01,No
CHTF18,5,4,500,0.01,No
DMRTC2,4,4,500,0.01,No
DMRTA2,4,4,500,0.01,No
POPDC2,4,4,500,0.01,No
TNMD,4,4,500,0.01,No
VSIR,4,4,500,0.01,No
RBSN,4,4,500,0.01,No
CARD9,4,4,500,0.01,No
LHX5,4,4,500,0.01,No
STRA6,4,4,500,0.01,No
HERPUD2,4,4,500,0.01,No
ATL2,4,4,500,0.01,No
HS1BP3,4,4,500,0.01,No
HIF3A,4,4,500,0.01,No
SIL1,4,4,500,0.01,No
IKZF4,4,4,500,0.01,No
GREM2,4,4,500,0.01,No
DCLRE1C,4,4,500,0.01,No
TTC31,4,4,500,0.01,No
ACTR6,4,4,500,0.01,No
DNAI2,5,4,500,0.01,No
TEKT3,5,4,500,0.01,No
MFSD14A,4,4,500,0.01,No
SPANXD,4,4,500,0.01,No
CTAGE1,4,4,500,0.01,No
IPPK,4,4,500,0.01,No
RMND5B,4,4,500,0.01,No
FNDC3B,4,4,500,0.01,No
MICAL1,4,4,500,0.01,No
LMF1,4,4,500,0.01,No
DDX31,4,4,500,0.01,No
CYP3A43,4,4,500,0.01,No
FBXL17,4,4,500,0.01,No
VWA1,4,4,500,0.01,No
AGXT2,5,4,500,0.01,No
MRPL32,4,4,500,0.01,No
MRPL9,4,4,500,0.01,No
RAPH1,4,4,500,0.01,No
VPS33A,4,4,500,0.01,No
ZNF649,4,4,500,0.01,No
MPPE1,4,4,500,0.01,No
PHACTR4,4,4,500,0.01,No
TMEM108,4,4,500,0.01,No
BOLL,4,4,500,0.01,No
GGCT,4,4,500,0.01,No
C7ORF25,4,4,500,0.01,No
ZNF655,4,4,500,0.01,No
TSEN34,4,4,500,0.01,No
ATG9A,4,4,500,0.01,No
ZNF426,9,4,500,0.01,No
NDUFAF5,4,4,500,0.01,No
DHRS11,4,4,500,0.01,No
THTPA,4,4,500,0.01,No
FSD1,4,4,500,0.01,No
THOC6,4,4,500,0.01,No
OR5H2,5,4,500,0.01,No
LRFN3,4,4,500,0.01,No
OR52N1,4,4,500,0.01,No
MAIP1,4,4,500,0.01,No
ATP13A3,4,4,500,0.01,No
PGBD5,4,4,500,0.01,Yes
RIC3,4,4,500,0.01,No
CCNJL,4,4,500,0.01,No
SH3TC2,4,4,500,0.01,No
TMEM53,4,4,500,0.01,No
HECTD3,5,4,500,0.01,No
BEND5,4,4,500,0.01,No
NEIL1,5,4,500,0.01,No
FN3KRP,4,4,500,0.01,No
MSANTD2,4,4,500,0.01,No
MANEA,4,4,500,0.01,No
NOL9,4,4,500,0.01,No
TBL1XR1,4,4,500,0.01,Yes
VPS37B,4,4,500,0.01,No
ANKRD55,4,4,500,0.01,No
NSUN7,4,4,500,0.01,No
ZNF419,4,4,500,0.01,No
ZNF385D,4,4,500,0.01,No
CCDC82,4,4,500,0.01,No
IQCA1,4,4,500,0.01,No
SUGCT,5,4,500,0.01,No
HPS6,6,4,500,0.01,No
MMRN2,4,4,500,0.01,No
METTL8,4,4,500,0.01,No
LONRF3,4,4,500,0.01,No
FAM124B,4,4,500,0.01,No
CFAP69,4,4,500,0.01,No
PDZD3,4,4,500,0.01,No
ZNF669,4,4,500,0.01,No
CPSF7,4,4,500,0.01,No
LPCAT1,4,4,500,0.01,No
ACTR5,4,4,500,0.01,No
MRM1,4,4,500,0.01,No
TNIP3,4,4,500,0.01,No
SYNPO2L,5,4,500,0.01,No
WLS,4,4,500,0.01,No
PLEKHH3,4,4,500,0.01,No
C10ORF88,4,4,500,0.01,No
MYO15B,4,4,500,0.01,No
LRRC8E,4,4,500,0.01,No
PTGES2,4,4,500,0.01,No
UXS1,4,4,500,0.01,No
TEDC2,4,4,500,0.01,No
PAAF1,4,4,500,0.01,No
FAAP100,4,4,500,0.01,No
C16ORF70,4,4,500,0.01,No
ZNF430,4,4,500,0.01,No
EDEM3,5,4,500,0.01,No
HSD3B7,4,4,500,0.01,No
WDCP,4,4,500,0.01,Yes
TRABD,4,4,500,0.01,No
FLAD1,4,4,500,0.01,No
CPEB4,4,4,500,0.01,No
SEL1L2,4,4,500,0.01,No
DCAF11,4,4,500,0.01,No
SRCIN1,4,4,500,0.01,No
ZFP91,4,4,500,0.01,No
APOL3,4,4,500,0.01,No
SH3BP5L,4,4,500,0.01,No
EGFL8,4,4,500,0.01,No
ZBP1,4,4,500,0.01,No
OR4A5,4,4,500,0.01,No
SGPP1,4,4,500,0.01,No
INTS14,4,4,500,0.01,No
ACTL8,4,4,500,0.01,No
APOLD1,4,4,500,0.01,No
SNX27,4,4,500,0.01,No
CDT1,4,4,500,0.01,No
TRMT1L,4,4,500,0.01,No
OR12D3,4,4,500,0.01,No
SPRY4,4,4,500,0.01,No
ST6GALNAC5,5,4,500,0.01,No
SHARPIN,4,4,500,0.01,No
TCF7L1,4,4,500,0.01,No
CCDC70,6,4,500,0.01,No
TMUB1,4,4,500,0.01,No
RASSF5,4,4,500,0.01,No
CCM2,4,4,500,0.01,No
SELENOO,4,4,500,0.01,No
MS4A8,4,4,500,0.01,No
ITCH,4,4,500,0.01,No
GRWD1,4,4,500,0.01,No
ZNF484,4,4,500,0.01,No
KCNK16,4,4,500,0.01,No
RAB34,4,4,500,0.01,No
GPR61,4,4,500,0.01,No
USHBP1,4,4,500,0.01,No
TTC29,5,4,500,0.01,No
HDAC10,4,4,500,0.01,No
TSSK6,5,4,500,0.01,No
FAM234A,4,4,500,0.01,No
DTNBP1,4,4,500,0.01,No
TMEM222,4,4,500,0.01,No
FAM186B,4,4,500,0.01,No
TKTL2,4,4,500,0.01,No
LOXL4,4,4,500,0.01,No
SLC49A3,6,4,500,0.01,No
FAR1,4,4,500,0.01,No
SETD3,4,4,500,0.01,Yes
MEX3B,4,4,500,0.01,No
TMEM117,4,4,500,0.01,No
SLF1,4,4,500,0.01,No
GARNL3,4,4,500,0.01,No
FLYWCH1,4,4,500,0.01,Yes
FBXW9,4,4,500,0.01,No
POLR3GL,4,4,500,0.01,No
CARD19,4,4,500,0.01,No
MSANTD4,4,4,500,0.01,No
LZTS2,5,4,500,0.01,No
BRSK1,5,4,500,0.01,Yes
MAP3K21,5,4,500,0.01,No
L3MBTL3,4,4,500,0.01,No
KIAA1841,4,4,500,0.01,No
SLC12A8,5,4,500,0.01,No
PARD6B,4,4,500,0.01,No
KISS1R,4,4,500,0.01,No
C22ORF23,5,4,500,0.01,No
EBPL,5,4,500,0.01,No
SPZ1,5,4,500,0.01,No
ADGRE3,4,4,500,0.01,No
GLIS2,5,4,500,0.01,No
TRIM55,5,4,500,0.01,No
INSM2,5,4,500,0.01,No
PPP1R9B,5,4,500,0.01,No
LOXL3,4,4,500,0.01,No
GPT2,4,4,500,0.01,No
LNX1,5,4,500,0.01,No
CRACR2A,4,4,500,0.01,No
ZNF607,4,4,500,0.01,No
NAA11,4,4,500,0.01,No
KMT5C,4,4,500,0.01,No
PLCD4,4,4,500,0.01,No
PTPN5,4,4,500,0.01,No
HAVCR2,4,4,500,0.01,No
ZBTB45,5,4,500,0.01,No
FIBCD1,5,4,500,0.01,No
MEDAG,4,4,500,0.01,No
CORO6,4,4,500,0.01,No
LTV1,4,4,500,0.01,No
MFSD5,4,4,500,0.01,No
PPP1R16A,4,4,500,0.01,No
ZCCHC3,4,4,500,0.01,No
ALG2,4,4,500,0.01,No
STRIP1,4,4,500,0.01,No
NKD2,4,4,500,0.01,No
ZCRB1,4,4,500,0.01,No
CABS1,4,4,500,0.01,No
TSPYL5,4,4,500,0.01,No
DIXDC1,4,4,500,0.01,No
ZNF518B,4,4,500,0.01,No
TRIM4,4,4,500,0.01,No
RSPH1,4,4,500,0.01,No
TRIM15,5,4,500,0.01,No
UBE3B,5,4,500,0.01,No
BTBD6,4,4,500,0.01,No
FRMD7,4,4,500,0.01,No
UNC5A,4,4,500,0.01,No
EXOC3L2,4,4,500,0.01,No
ZNF160,4,4,500,0.01,No
IFT20,4,4,500,0.01,No
ZNF622,4,4,500,0.01,No
SCRN2,4,4,500,0.01,No
MLIP,5,4,500,0.01,No
ZNF439,4,4,500,0.01,No
STARD13,4,4,500,0.01,No
ZNF479,5,4,500,0.01,No
ZNF697,5,4,500,0.01,No
TRIM41,4,4,500,0.01,No
CREB3L1,4,4,500,0.01,Yes
LMF2,4,4,500,0.01,No
ZNF830,4,4,500,0.01,No
YTHDC1,4,4,500,0.01,No
NXPE3,4,4,500,0.01,No
CHRDL1,4,4,500,0.01,No
MARVELD3,4,4,500,0.01,No
MTSS2,5,4,500,0.01,No
MEX3A,4,4,500,0.01,No
GORAB,4,4,500,0.01,No
ATXN3L,4,4,500,0.01,No
TIMM50,4,4,500,0.01,No
DRC1,4,4,500,0.01,No
ZNF276,4,4,500,0.01,No
TJAP1,4,4,500,0.01,No
TTYH2,4,4,500,0.01,No
OPN4,4,4,500,0.01,No
TGS1,4,4,500,0.01,No
PRRT2,4,4,500,0.01,No
GLMP,4,4,500,0.01,No
KLHDC7B,4,4,500,0.01,No
ZBED6CL,5,4,500,0.01,No
UCN3,4,4,500,0.01,No
SIGLEC11,4,4,500,0.01,No
PGLYRP3,4,4,500,0.01,No
BTBD9,4,4,500,0.01,No
RNF157,4,4,500,0.01,No
PNMA5,4,4,500,0.01,No
OSBPL9,4,4,500,0.01,No
TSGA13,4,4,500,0.01,No
GPR146,4,4,500,0.01,No
GBP5,4,4,500,0.01,No
LRRC56,4,4,500,0.01,No
FCHO2,4,4,500,0.01,No
SLC5A11,4,4,500,0.01,No
TRMT61A,4,4,500,0.01,No
RASGRP4,4,4,500,0.01,No
WDFY2,4,4,500,0.01,No
LRRC3B,4,4,500,0.01,No
TGM7,4,4,500,0.01,No
NIBAN1,4,4,500,0.01,No
MAS1L,5,4,500,0.01,No
PLAAT5,4,4,500,0.01,No
FTSJ3,5,4,500,0.01,No
MSS51,4,4,500,0.01,No
BTBD16,4,4,500,0.01,No
PNLIPRP3,4,4,500,0.01,No
OR52R1,4,4,500,0.01,No
OR52K2,4,4,500,0.01,No
OR5P3,4,4,500,0.01,No
NXPE2,5,4,500,0.01,No
JAML,4,4,500,0.01,No
OR2D2,4,4,500,0.01,No
OR2AP1,4,4,500,0.01,No
OR10P1,4,4,500,0.01,No
LRIG3,4,4,500,0.01,Yes
TPH2,5,4,500,0.01,No
ADSSL1,4,4,500,0.01,No
KLHDC1,4,4,500,0.01,No
SLC24A4,4,4,500,0.01,No
MTFMT,4,4,500,0.01,No
C16ORF78,4,4,500,0.01,No
CCDC78,5,4,500,0.01,No
GPR139,4,4,500,0.01,No
ANKS3,4,4,500,0.01,No
USP43,4,4,500,0.01,No
SLC5A10,4,4,500,0.01,No
OR1M1,4,4,500,0.01,No
TRAPPC5,4,4,500,0.01,No
ZNF441,4,4,500,0.01,No
ZNF491,4,4,500,0.01,No
ZNF440,4,4,500,0.01,No
ALDH16A1,5,4,500,0.01,No
WDR88,4,4,500,0.01,No
CYP4F22,5,4,500,0.01,No
RINL,4,4,500,0.01,No
C19ORF47,4,4,500,0.01,No
OR10H4,6,4,500,0.01,No
KLHDC9,4,4,500,0.01,No
MYOM3,4,4,500,0.01,No
DMBX1,4,4,500,0.01,No
A3GALT2,4,4,500,0.01,No
NAXE,4,4,500,0.01,No
BPIFB6,4,4,500,0.01,No
TYW5,4,4,500,0.01,No
NEU4,4,4,500,0.01,No
RBM45,4,4,500,0.01,No
CLHC1,4,4,500,0.01,No
ZNF513,4,4,500,0.01,No
ZDHHC19,5,4,500,0.01,No
IL17RE,4,4,500,0.01,No
PABPC4L,4,4,500,0.01,No
LIN54,4,4,500,0.01,No
TMPRSS11B,4,4,500,0.01,No
ENPP6,5,4,500,0.01,No
SETD9,4,4,500,0.01,No
PPARGC1B,4,4,500,0.01,No
ATPSCKMT,4,4,500,0.01,No
CMBL,6,4,500,0.01,No
ACOT12,4,4,500,0.01,No
IRAK1BP1,5,4,500,0.01,No
SDHAF4,4,4,500,0.01,No
C6ORF141,4,4,500,0.01,No
HUS1B,4,4,500,0.01,No
TRIM40,5,4,500,0.01,No
OR6B1,4,4,500,0.01,No
LRGUK,4,4,500,0.01,No
ASB10,4,4,500,0.01,No
PRSS58,4,4,500,0.01,No
ASZ1,4,4,500,0.01,No
CLDN23,4,4,500,0.01,No
ABRA,4,4,500,0.01,No
LETM2,4,4,500,0.01,No
PIP5KL1,4,4,500,0.01,No
ARID3C,5,4,500,0.01,Yes
OR13F1,4,4,500,0.01,No
PASD1,4,4,500,0.01,No
DCAF12L1,4,4,500,0.01,No
FAM199X,6,4,500,0.01,No
UPRT,4,4,500,0.01,No
KRTAP13-1,4,4,500,0.01,No
ASB11,4,4,500,0.01,No
ASB5,4,4,500,0.01,No
ASB6,4,4,500,0.01,No
ASB7,4,4,500,0.01,No
ZNF358,4,4,500,0.01,No
RNF32,4,4,500,0.01,No
SLC32A1,5,4,500,0.01,No
ABHD16B,4,4,500,0.01,No
CCM2L,4,4,500,0.01,No
TLDC2,4,4,500,0.01,No
ANKRD60,4,4,500,0.01,No
PABPC5,5,4,500,0.01,No
CNBD2,4,4,500,0.01,No
ACSM6,4,4,500,0.01,No
XRRA1,4,4,500,0.01,No
PIWIL4,4,4,500,0.01,No
ARHGAP42,4,4,500,0.01,No
CWF19L2,4,4,500,0.01,No
OR2AG1,4,4,500,0.01,No
CPNE8,4,4,500,0.01,No
TMEM120B,4,4,500,0.01,No
FBXL14,4,4,500,0.01,No
ABHD12B,4,4,500,0.01,No
PGPEP1L,4,4,500,0.01,No
CDAN1,4,4,500,0.01,No
SLC38A8,4,4,500,0.01,No
VWA3A,4,4,500,0.01,No
OTOA,4,4,500,0.01,No
IL34,4,4,500,0.01,No
BICDL2,4,4,500,0.01,No
C16ORF89,4,4,500,0.01,No
TEPSIN,4,4,500,0.01,No
RTN4RL1,4,4,500,0.01,No
CCDC42,4,4,500,0.01,No
TRIM16L,4,4,500,0.01,No
CCBE1,4,4,500,0.01,No
ZNF480,4,4,500,0.01,No
PPM1N,4,4,500,0.01,No
HIPK4,4,4,500,0.01,No
SIX5,4,4,500,0.01,No
ZNF565,4,4,500,0.01,No
ZNF583,5,4,500,0.01,No
CREB3L4,4,4,500,0.01,No
MFSD4A,4,4,500,0.01,No
DCST1,5,4,500,0.01,No
EXOC8,7,4,500,0.01,No
LRRC71,4,4,500,0.01,No
LCA5L,4,4,500,0.01,No
SIK1,5,4,500,0.01,No
FAM117B,4,4,500,0.01,No
KANSL1L,4,4,500,0.01,No
CCDC13,4,4,500,0.01,No
SH3D19,4,4,500,0.01,No
SCFD2,4,4,500,0.01,No
RASGEF1B,4,4,500,0.01,No
CREBRF,4,4,500,0.01,No
IRX2,4,4,500,0.01,No
FAM81B,4,4,500,0.01,No
SAMD3,4,4,500,0.01,No
OR1Q1,4,4,500,0.01,No
NKX2-3,4,4,500,0.01,No
SLC35G1,4,4,500,0.01,No
ALDH1L2,4,4,500,0.01,No
REM2,4,4,500,0.01,No
TMEM30B,4,4,500,0.01,No
SAMD15,6,4,500,0.01,No
ADAD2,4,4,500,0.01,No
MFSD6L,4,4,500,0.01,No
ZNF836,4,4,500,0.01,No
ZNF610,5,4,500,0.01,No
ZNF846,4,4,500,0.01,No
ZNF676,4,4,500,0.01,No
PLPPR5,4,4,500,0.01,No
IFNLR1,4,4,500,0.01,No
SDE2,4,4,500,0.01,No
TTC24,5,4,500,0.01,No
APCDD1L,4,4,500,0.01,No
APOBEC3H,4,4,500,0.01,No
OXER1,4,4,500,0.01,No
C1QL2,4,4,500,0.01,No
DNAJB8,4,4,500,0.01,No
KBTBD12,4,4,500,0.01,No
TRIM60,4,4,500,0.01,No
TENT2,4,4,500,0.01,No
TXLNB,4,4,500,0.01,No
STKLD1,4,4,500,0.01,No
QSOX2,5,4,500,0.01,No
ZNF169,4,4,500,0.01,No
OIT3,4,4,500,0.01,No
S100Z,4,4,500,0.01,No
GSX2,4,4,500,0.01,No
ZNF721,4,4,500,0.01,No
ZNF675,4,4,500,0.01,No
PTCRA,5,4,500,0.01,No
KRT24,4,4,500,0.01,No
SDR16C5,5,4,500,0.01,No
ZNF367,4,4,500,0.01,No
PLBD2,4,4,500,0.01,No
ANO6,5,4,500,0.01,No
PAOX,4,4,500,0.01,No
MLKL,4,4,500,0.01,No
ZNF778,4,4,500,0.01,No
DZIP1L,4,4,500,0.01,No
CADM4,4,4,500,0.01,No
TMEM201,4,4,500,0.01,No
CYP4Z1,4,4,500,0.01,No
SLFNL1,5,4,500,0.01,No
FAM209A,4,4,500,0.01,No
APLF,4,4,500,0.01,No
KLHDC8B,4,4,500,0.01,No
DHRS7C,4,4,500,0.01,No
SLC39A11,4,4,500,0.01,No
SLC10A4,4,4,500,0.01,No
TIGD4,4,4,500,0.01,No
RWDD4,4,4,500,0.01,No
TUBB,4,4,500,0.01,No
HTRA4,4,4,500,0.01,No
ADAM32,4,4,500,0.01,No
CCDC171,4,4,500,0.01,No
ANKS6,4,4,500,0.01,No
OR8U1,4,4,500,0.01,No
OR8K5,4,4,500,0.01,No
TBATA,5,4,500,0.01,No
OR6T1,4,4,500,0.01,No
OR9I1,4,4,500,0.01,No
OR1S2,4,4,500,0.01,No
OR1S1,4,4,500,0.01,No
OR10Q1,5,4,500,0.01,No
PPP1R32,4,4,500,0.01,No
GDPD4,4,4,500,0.01,No
DOK6,7,4,500,0.01,No
RNF152,4,4,500,0.01,No
ZNF438,4,4,500,0.01,No
SLC39A12,4,4,500,0.01,No
ADGRG5,4,4,500,0.01,No
NT5DC1,4,4,500,0.01,No
ZUP1,4,4,500,0.01,No
TBC1D32,4,4,500,0.01,No
OPN5,4,4,500,0.01,No
ARMC12,4,4,500,0.01,No
SP8,4,4,500,0.01,No
BRAT1,4,4,500,0.01,No
UNC5CL,4,4,500,0.01,No
FAM217A,4,4,500,0.01,No
FERD3L,4,4,500,0.01,No
SPDYA,4,4,500,0.01,No
CNPY4,4,4,500,0.01,No
SPESP1,4,4,500,0.01,No
NEIL2,4,4,500,0.01,No
HEPACAM2,4,4,500,0.01,No
ZBTB38,6,4,500,0.01,No
MSRB3,4,4,500,0.01,No
ANGPTL5,4,4,500,0.01,No
RALGAPA1,4,4,500,0.01,No
SNX32,4,4,500,0.01,No
LCORL,4,4,500,0.01,No
MCM9,4,4,500,0.01,No
CALHM1,5,4,500,0.01,No
MBLAC1,4,4,500,0.01,No
NPNT,4,4,500,0.01,No
TMEM196,4,4,500,0.01,No
PTF1A,4,4,500,0.01,No
SCML4,4,4,500,0.01,No
KANK3,4,4,500,0.01,No
SERINC5,4,4,500,0.01,No
ZNF683,5,4,500,0.01,No
CCDC96,4,4,500,0.01,No
ANKS4B,4,4,500,0.01,No
LY6G6F,4,4,500,0.01,No
IL4I1,4,4,500,0.01,No
HS6ST3,4,4,500,0.01,No
ADGRF1,4,4,500,0.01,No
PGBD2,4,4,500,0.01,No
OR10AG1,4,4,500,0.01,No
OR5J2,4,4,500,0.01,No
OR8D1,4,4,500,0.01,No
OR8B4,4,4,500,0.01,No
P4HA3,4,4,500,0.01,No
SLC22A24,5,4,500,0.01,No
IGSF22,4,4,500,0.01,No
OLFML1,4,4,500,0.01,No
CHAMP1,5,4,500,0.01,No
NHLRC4,4,4,500,0.01,No
TSEN54,5,4,500,0.01,No
CCDC57,4,4,500,0.01,No
HEXD,4,4,500,0.01,No
CDRT4,4,4,500,0.01,No
C17ORF78,4,4,500,0.01,No
SLC26A11,5,4,500,0.01,No
METRNL,4,4,500,0.01,No
PPP1R37,4,4,500,0.01,No
MAMSTR,4,4,500,0.01,No
SLC25A41,4,4,500,0.01,No
OR2L13,5,4,500,0.01,No
EPHA10,5,4,500,0.01,No
FAM126B,4,4,500,0.01,No
EOGT,4,4,500,0.01,No
C3ORF56,5,4,500,0.01,No
PRRT3,6,4,500,0.01,No
C3ORF70,4,4,500,0.01,No
DCAF4L1,4,4,500,0.01,No
CYP4V2,4,4,500,0.01,No
RNF175,4,4,500,0.01,No
STPG2,4,4,500,0.01,No
PNPLA1,4,4,500,0.01,No
TREML4,4,4,500,0.01,No
ATG9B,4,4,500,0.01,No
XKR6,4,4,500,0.01,No
ZNF707,4,4,500,0.01,No
SCAI,4,4,500,0.01,No
OR13D1,4,4,500,0.01,No
TRARG1,4,4,500,0.01,No
KRT6C,4,4,500,0.01,No
SNAI3,4,4,500,0.01,No
NLRP14,5,4,500,0.01,No
ANO9,4,4,500,0.01,No
LUZP2,5,4,500,0.01,No
CCDC84,4,4,500,0.01,No
TMEM225,4,4,500,0.01,No
OR8D4,4,4,500,0.01,No
CLEC4G,4,4,500,0.01,No
CCDC190,4,4,500,0.01,No
TEX33,4,4,500,0.01,No
TMPRSS11A,4,4,500,0.01,No
TRIML1,4,4,500,0.01,No
FAM170A,4,4,500,0.01,No
ANKRD34B,4,4,500,0.01,No
TREML1,4,4,500,0.01,No
NRBP2,5,4,500,0.01,No
C11ORF53,4,4,500,0.01,No
OR10A2,4,4,500,0.01,No
ACSM4,4,4,500,0.01,No
H1FNT,4,4,500,0.01,No
OR8S1,4,4,500,0.01,No
AADACL4,4,4,500,0.01,No
CCDC18,4,4,500,0.01,No
BARHL2,6,4,500,0.01,No
EVX2,4,4,500,0.01,No
SOWAHB,4,4,500,0.01,No
ZNF879,4,4,500,0.01,No
RSPH4A,8,4,500,0.01,No
KIF24,4,4,500,0.01,No
LANCL3,4,4,500,0.01,No
SOWAHD,4,4,500,0.01,No
SERINC2,4,4,500,0.01,No
SELENOV,4,4,500,0.01,No
ZNF530,4,4,500,0.01,No
USP50,4,4,500,0.01,No
CCDC172,4,4,500,0.01,No
C12ORF42,4,4,500,0.01,No
PEAK3,5,4,500,0.01,No
SBSN,4,4,500,0.01,No
B3GNT8,4,4,500,0.01,No
ZSWIM9,4,4,500,0.01,No
RBM43,4,4,500,0.01,No
CATIP,4,4,500,0.01,No
LHFPL4,4,4,500,0.01,No
NRROS,4,4,500,0.01,No
LHFPL3,4,4,500,0.01,No
ZC3H6,5,4,500,0.01,No
KLHL30,4,4,500,0.01,No
KRTAP10-8,4,4,500,0.01,No
TBPL2,4,4,500,0.01,No
SLC16A12,4,4,500,0.01,No
SLC22A10,4,4,500,0.01,No
SPDYC,4,4,500,0.01,No
TMEM233,4,4,500,0.01,No
POTEC,4,4,500,0.01,No
ZNF324B,4,4,500,0.01,No
RNF207,4,4,500,0.01,No
KRTAP26-1,4,4,500,0.01,No
PLEKHM3,4,4,500,0.01,No
PLSCR5,4,4,500,0.01,No
ANKUB1,4,4,500,0.01,No
GRXCR1,4,4,500,0.01,No
BNIP5,4,4,500,0.01,No
CFAP77,4,4,500,0.01,No
ZCCHC13,4,4,500,0.01,No
C1QL3,5,4,500,0.01,No
OR52I1,4,4,500,0.01,No
OR51D1,4,4,500,0.01,No
OR51Q1,5,4,500,0.01,No
OR52N5,5,4,500,0.01,No
OR52N2,4,4,500,0.01,No
OR5T1,4,4,500,0.01,No
OR5M1,4,4,500,0.01,No
OR5AK2,4,4,500,0.01,No
OR5AN1,4,4,500,0.01,No
OR4D9,4,4,500,0.01,No
BSX,4,4,500,0.01,No
OR6M1,4,4,500,0.01,No
OR10G7,4,4,500,0.01,No
OR4N5,4,4,500,0.01,No
RNASE9,4,4,500,0.01,No
OR4M2,5,4,500,0.01,No
SKOR1,4,4,500,0.01,No
C1QTNF8,4,4,500,0.01,No
PABPN1L,4,4,500,0.01,No
ACP7,4,4,500,0.01,No
OR6Y1,4,4,500,0.01,No
OR2AK2,4,4,500,0.01,No
SPINT4,4,4,500,0.01,No
OR13J1,4,4,500,0.01,No
MEX3D,4,4,500,0.01,No
HEATR4,4,4,500,0.01,No
C10ORF120,4,4,500,0.01,No
SNX19,4,4,500,0.01,No
PLEKHD1,4,4,500,0.01,No
KNOP1,4,4,500,0.01,No
AMTN,5,4,500,0.01,No
RAB44,6,4,500,0.01,No
CRIP3,4,4,500,0.01,No
KLHL31,4,4,500,0.01,No
TCP10L2,5,4,500,0.01,No
FAM166A,4,4,500,0.01,No
OR51T1,5,4,500,0.01,No
SRRD,4,4,500,0.01,No
OR5H15,4,4,500,0.01,No
APOBEC4,4,4,500,0.01,No
DUOXA2,4,4,500,0.01,No
AGAP6,5,4,500,0.01,No
LHX8,6,4,500,0.01,No
PLIN5,4,4,500,0.01,No
ETV3L,4,4,500,0.01,No
MAP1LC3C,4,4,500,0.01,No
OR13G1,6,4,500,0.01,No
OR2A2,4,4,500,0.01,No
POTEE,5,4,500,0.01,No
EID3,4,4,500,0.01,No
RNF165,4,4,500,0.01,No
CCDC157,4,4,500,0.01,No
ASPDH,4,4,500,0.01,No
INSYN2A,4,4,500,0.01,No
GRXCR2,4,4,500,0.01,No
KIAA0754,5,4,500,0.01,No
KRTAP24-1,4,4,500,0.01,No
PIRT,4,4,500,0.01,No
FAM83G,5,4,500,0.01,No
ARRDC5,4,4,500,0.01,No
FAM227A,4,4,500,0.01,No
KIAA0895L,4,4,500,0.01,No
GXYLT2,4,4,500,0.01,No
MROH1,4,4,500,0.01,No
CLEC19A,4,4,500,0.01,No
KRTAP9-1,4,4,500,0.01,No
OVOL3,4,4,500,0.01,No
DCDC2C,4,4,500,0.01,No
SLC15A5,4,4,500,0.01,No
CCDC61,4,4,500,0.01,No
CRPPA,4,4,500,0.01,No
SHISA7,4,4,500,0.01,No
CSKMT,4,4,500,0.01,No
TVP23A,7,4,500,0.01,No
TMEM221,4,4,500,0.01,No
SP9,5,4,500,0.01,No
FOXO6,4,4,500,0.01,No
EPOP,4,4,500,0.01,No
C2CD4D,4,4,500,0.01,No
ZNF783,4,4,500,0.01,No
